"GPU activities",14.788711,137.188483,602,0.227887,0.155615,0.231262,"_ZN6miniFE13waxpby_kernelINS_9PODVectorIdiiEEEEvNT_10ScalarTypeES3_S4_S3_S3_"
"GPU activities",5.048495,46.832711,400,0.117081,0.084671,0.149823,"_ZN6miniFE10dot_kernelINS_9PODVectorIdiiEEEEvT_S3_PNS_10TypeTraitsINS3_10ScalarTypeEE14magnitude_typeE"
"GPU activities",1.344896,12.476021,201,0.062069,0.061311,0.066976,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE1ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"GPU activities",0.469029,4.350984,601,0.007239,0.001664,0.021408,"[CUDA memcpy DtoH]"
"GPU activities",0.203018,1.883311,201,0.009369,0.002464,0.018400,"_ZN6miniFE20copyElementsToBufferIdiEEvPT_S2_PT0_i"
"GPU activities",0.098836,0.916859,400,0.002292,0.002208,0.002592,"_ZN6miniFE23dot_final_reduce_kernelIdEEvPT_"
"GPU activities",0.054158,0.502398,400,0.001255,0.001184,0.001600,"_ZN6miniFE17cudaMemset_kernelIdEEvPT_S1_i"
"GPU activities",0.025209,0.233854,4,0.058463,0.001376,0.078207,"_ZN6thrust8cuda_cub4core13_kernel_agentINS0_14__parallel_for16ParallelForAgentINS0_20__uninitialized_fill7functorINS_10device_ptrIdEEdEEmEES9_mEEvT0_T1_"
"API calls",85.358813,75.777097,2409,0.031455,0.017730,8.108025,"cudaLaunchKernel"
"API calls",14.641187,12.997681,601,0.021626,0.016529,0.046680,"cudaMemcpyAsync"

==120426==       Range "create recv list"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,0.349123,1,0.349123,0.349123,0.349123,"create recv list"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "create tmp_neighbors"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,0.514168,1,0.514168,0.514168,0.514168,"create tmp_neighbors"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "end exchange"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,588.723904,201,2.928974,0.223630,4.759588,"end exchange"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "exterier region"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,6.639523,201,0.033032,0.025720,0.040374,"exterier region"
"GPU activities",100.000000,12.476021,201,0.062069,0.061311,0.066976,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE1ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"API calls",100.000000,5.952847,201,0.029616,0.023003,0.036108,"cudaLaunchKernel"

==120426==       Range "generate matrix structure"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,215.279050,1,215.279050,215.279050,215.279050,"generate matrix structure"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "impose boundary conditions"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,29.916970,1,29.916970,29.916970,29.916970,"impose boundary conditions"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "interier region"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,6.769274,201,0.033677,0.023550,0.069265,"interier region"
"GPU activities",100.000000,723.272199,201,3.598369,3.591813,3.665861,"_ZN6miniFE25matvec_overlap_ell_kernelILNS_12MATVEC_RANGEE0ENS_12PODELLMatrixIdiiEENS_9PODVectorIdiiEEEEvT0_T1_S7_"
"API calls",100.000000,6.197608,201,0.030833,0.021443,0.066712,"cudaLaunchKernel"

==120426==       Range "make local matrix"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,59.023789,1,59.023789,59.023789,59.023789,"make local matrix"
No kernels were profiled in this range.
No API activities were profiled in this range.

==120426==       Range "reserve space in A"
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"Range:",100.000000,97.458392,1,97.458392,97.458392,97.458392,"reserve space in A"
No kernels were profiled in this range.
No API activities were profiled in this range.

